,ALTAGAS LTD,FMC CORP,STORA ENSO,WEYERHAEUSER CO,BHP GROUP,INTERNATIONAL PAPER CO,S&P 500 ENERGY INDEX,WILMAR INTERNATIONAL LTD,TOTALENERGIES SE,BP PLC,ALTAGAS LTD_cumulative_sum,FMC CORP_cumulative_sum,STORA ENSO_cumulative_sum,WEYERHAEUSER CO_cumulative_sum,BHP GROUP_cumulative_sum,INTERNATIONAL PAPER CO_cumulative_sum,S&P 500 ENERGY INDEX_cumulative_sum,WILMAR INTERNATIONAL LTD_cumulative_sum,TOTALENERGIES SE_cumulative_sum,BP PLC_cumulative_sum
2020-06,0.4285714285714286,-0.21649484536082475,-0.0423728813559322,0.0625,-0.0625,-0.017857142857142905,-0.125,0.0,0.0,0.0,0.004625195700000001,0.0,0.0,0.0007024730029016607,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,0.0,-0.196078431372549,-0.04854368932038833,-0.045454545454545414,0.06000000000000005,0.08333333333333326,-0.25,0.5,0.0,0.0,5.05752879150808e-05,0.0,0.0,0.0,0.0006375226200000006,0.0008233929749999993,0.0,0.0057288825,0.0,0.0
2020-08,-0.6,-0.2678571428571429,-0.0980392156862745,-0.125,0.03571428571428581,0.11538461538461542,-0.4444444444444444,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00037879079759473407,0.001228531762227666,0.0,0.004864379149645034,0.0,0.0
2020-09,0.2857142857142858,-0.19277108433734935,-0.02020202020202022,0.04761904761904767,0.053254437869822535,0.0,-0.30434782608695654,0.5,0.0,0.0,0.0026814310571428583,0.0,0.0,0.0004480683714285719,0.0005141250300052451,1.3731644723843807e-05,0.0,0.005075922714506252,0.0,0.0
2020-10,0.22222222222222232,-0.19999999999999996,-0.08839779005524862,0.1071428571428572,0.05339805825242716,0.030303030303030276,-0.1875,0.0,0.0,0.0,0.0023683205275933854,0.0,0.0,0.0010295078388734811,0.0005015886937712725,0.00032717275294544956,0.0,4.654140743876532e-05,0.0,0.0
2020-11,0.11111111111111116,-0.24,-0.1306532663316583,0.16666666666666674,0.05263157894736836,0.0,-0.24242424242424243,0.0,0.0,0.0,0.0012927943390845414,0.0,0.0,0.0017844986777669125,0.0006161503835099884,3.739828637040186e-06,0.0,4.94920642545141e-07,0.0,0.0
2020-12,0.0,-0.4,-0.13709677419354838,-0.5,-0.20588235294117652,-0.25,-0.31707317073170727,1.0,0.0,0.0,1.3254642345569053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.011195603540932554,0.0,0.0
2021-01,0.0,-0.2692307692307693,0.13541666666666674,0.5,0.03750000000000009,-0.2142857142857143,-0.3666666666666667,0.0,0.0,0.0,1.346569946184456e-07,0.0,0.0012817510062500008,0.00465105875,0.00038326446375000093,0.0,0.0,0.00012612938960205762,0.0,0.0
2021-02,-0.5,-0.4,-0.061855670103092786,-0.1428571428571429,-0.04761904761904767,-0.19999999999999996,-0.033333333333333326,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109501411,0.0
2021-03,0.0,-0.22388059701492535,-0.08737864077669899,-0.33333333333333337,0.1166666666666667,-0.125,-0.38095238095238093,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001094805681666667,0.0,0.0,0.0,0.00011227630596640498,0.0
2021-04,-0.4285714285714286,-0.14634146341463417,-0.15909090909090906,0.5,-0.1785714285714286,-0.6666666666666667,-0.41025641025641024,-0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0054452247,0.0,0.0,0.0,0.0,1.0639963162608231e-06,0.0
2021-05,0.4285714285714286,-0.12195121951219512,-0.07246376811594202,-0.4444444444444444,-0.13636363636363635,-0.0714285714285714,-0.33333333333333337,-1.0,1.0,0.0,0.0045558803142857155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010465315535045329,0.0
2021-06,0.0,-0.20833333333333337,0.04065040650406515,-0.09090909090909094,0.0,-0.30000000000000004,-0.22580645161290325,0.0,-0.1428571428571429,0.0,4.839384727894363e-05,0.0,0.0004233478008130093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,0.0,-0.17142857142857137,-0.13793103448275867,0.0,-0.12903225806451613,0.09090909090909083,-0.09677419354838712,0.0,0.18181818181818188,0.0,4.900948573559493e-07,0.0,0.0,0.0,0.0,0.0008564523090909083,0.0,0.0,0.0017503233454545463,0.0
2021-08,0.0,-0.19999999999999996,0.170940170940171,0.08333333333333326,0.14423076923076916,-0.33333333333333337,0.05882352941176472,0.5,0.278688524590164,0.0,4.6486116700111495e-09,0.0,0.0016906860000000005,0.0008894159499999992,0.0012142850480769225,0.0,0.0005762104235294118,0.00484755665,0.0028411624535298685,0.0
2021-09,0.0,-0.24390243902439024,-0.1333333333333333,-0.5,-0.012499999999999956,0.0,-0.25,-0.19999999999999996,0.0,0.0,4.590010062659955e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135253452024708e-05,0.0
2021-10,-0.25,0.03125,-0.11428571428571432,0.0,-0.12403100775193798,-0.25,0.2666666666666666,0.0,0.25,0.0,0.0,0.000310622815625,0.0,0.0,0.0,0.0,0.0029430026666666656,0.0,0.0026161535510371508,0.0
2021-11,0.0,-0.39473684210526316,0.015873015873015817,0.5,-0.016000000000000014,-0.18181818181818177,-0.29032258064516125,-0.33333333333333337,0.2142857142857142,0.0,0.0,0.0,0.0001620317873015867,0.0052645576500000004,0.0,0.0,0.0,0.0,0.001990855267224538,0.0
2021-12,0.0,-0.2894736842105263,-0.14084507042253525,0.3999999999999999,0.028037383177569986,-0.2857142857142857,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.004456917357563124,0.00030113117383177455,0.0,0.0,0.0,0.0007595427172122031,0.0
2022-01,-0.19999999999999996,-0.2272727272727273,-0.038961038961038974,0.1428571428571428,0.04424778761061954,0.125,-0.2962962962962963,0.0,0.07407407407407418,0.0,0.0,0.0,0.0,0.0014463107048395235,0.00046947990324269344,0.0012837909750000002,0.0,0.0,0.0008418879921057714,0.0
2022-02,0.0,0.0625,0.1428571428571428,-0.125,0.032608695652173836,0.0,-0.19444444444444442,0.0,0.08196721311475419,0.0,0.0,0.0006639598625,0.0013670738142857138,0.0,0.0003692308675526903,1.1698203129392664e-05,0.0,0.0,0.0007508076122222185,0.0
2022-03,0.4285714285714286,-0.28888888888888886,0.10852713178294571,0.050000000000000044,-0.0691823899371069,0.0,0.125,0.5,0.1685393258426966,0.0,0.004410663685714286,0.0,0.0011645282475926295,0.0004896368800000005,0.0,1.240229890767971e-07,0.001361657775,0.00538266705,0.0017147424196199677,0.0
2022-04,0.0,-0.2592592592592593,-0.08965517241379306,-0.5,-0.08130081300813008,-0.4444444444444444,-0.4411764705882353,0.0,-0.14166666666666672,0.0,4.507082381722928e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.0929895645169236e-05,0.0,0.0
2022-05,0.0,-0.2093023255813954,0.02777777777777768,-0.09999999999999998,-0.17796610169491522,-0.2941176470588235,0.0,0.0,0.11940298507462677,0.0,4.7532715708183595e-07,0.0,0.0002694351416666657,0.0,0.0,0.0,0.0,4.827289011954615e-07,0.0014299118805970136,0.0
2022-06,0.75,-0.18918918918918914,-0.06956521739130439,-0.11111111111111116,-0.15887850467289721,-0.1428571428571429,-0.20408163265306123,0.0,0.0,0.0,0.006608908188522066,0.0,0.0,0.0,0.0,0.0,0.0,4.6108090431219504e-09,1.282119906389396e-05,0.0
2022-07,0.0,-0.33999999999999997,0.009708737864077666,-0.4285714285714286,-0.03539823008849563,0.19999999999999996,-0.33333333333333337,0.75,0.04054054054054057,0.0,6.974785012172145e-05,0.0,9.50381252427184e-05,0.0,0.0,0.0020449438199999993,0.0,0.007500126297733866,0.000389692561849916,0.0
2022-08,-0.19999999999999996,0.0,0.19024390243902434,0.10000000000000009,-0.045454545454545414,0.08333333333333326,-0.1875,-0.5,0.07228915662650603,0.0,0.0,0.0,0.0018536430672891917,0.000940528640000001,0.0,0.0008394593104801868,0.0,0.0,0.0007299891804604073,0.0
2022-09,0.0,0.0,0.04477611940298498,0.0,0.042328042328042326,0.4444444444444444,-0.1875,-0.5,0.19736842105263164,-0.26068376068376065,0.0,0.0,0.00039956707726488154,7.905017188362248e-06,0.00041295656719576716,0.0033915186567503993,0.0,0.0,0.001862974680462714,0.0
